CITY,IATA_CODE,AIRPORT
Merced,MCE,Merced Regional Airport (MacReady Field)
Mammoth Lakes,MMH,Mammoth Yosemite Airport
Redding,RDD,Redding Municipal Airport
Stockton,SCK,Stockton Metropolitan Airport
Monterey,MRY,Monterey Regional Airport
Santa Rosa,STS,Charles M. Schulz–Sonoma County Airport
Fresno,FAT,Fresno Yosemite International Airport
Sacramento,SMF,Sacramento International Airport
Oakland,OAK,Oakland International Airport
San Jose,SJC,Norman Y. Mineta San José International Airport
San Francisco,SFO,San Francisco International Airport
Palm Springs,PSP,Palm Springs International Airport
